,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
360,ladysmith,67,ZA,1578089137,88,-28.55,29.78,63.55,0.85
361,plettenberg bay,68,ZA,1578089137,93,-34.05,23.37,67.98,0.6
362,cabra,95,ES,1578089137,87,37.47,-4.43,46.0,1.12
363,cascais,0,PT,1578089048,76,38.7,-9.42,57.0,5.82
364,guasdualito,100,VE,1578089188,48,7.24,-70.73,87.57,7.43
365,pingliang,95,CN,1578089188,70,35.54,106.68,26.31,2.86
366,riyadh,0,SA,1578089188,33,24.63,46.72,71.6,8.05
367,broken hill,0,AU,1578089188,41,-31.97,141.45,75.2,16.11
368,uray,100,RU,1578089188,90,60.13,64.8,20.1,11.72
369,portland,90,US,1578088830,86,43.66,-70.25,44.6,5.82
370,luvianos,67,MX,1578089188,31,18.92,-100.4,84.2,3.33
371,tokur,0,RU,1578089188,91,53.13,132.9,-26.39,2.04
372,masvingo,0,ZW,1578089188,59,-20.08,30.83,71.76,7.14
373,kalabo,96,ZM,1578089188,67,-15.0,22.67,73.15,3.13
374,lompoc,1,US,1578089188,26,34.64,-120.46,73.4,13.87
375,jerez,100,ES,1578089188,87,36.68,-6.14,50.0,5.82
376,jinka,17,ET,1578089188,71,5.79,36.57,68.45,4.27
377,wajima,97,JP,1578089188,59,37.4,136.9,42.22,16.04
378,campobasso,0,IT,1578089155,86,41.56,14.66,46.0,5.39
379,port blair,20,IN,1578089188,78,11.67,92.75,80.6,4.7
380,morro bay,1,US,1578089189,55,35.37,-120.85,73.4,8.05
381,chambersburg,75,US,1578088901,93,39.94,-77.66,50.0,4.7
382,gamba,55,CN,1578089189,82,28.28,88.52,7.23,3.04
383,fort frances,90,CA,1578089189,79,48.61,-93.4,26.01,4.7
